,tweets,id,date,source,likes,retweets,Subjectivity,Polarity,Analysis,Tweet_punct,tweet_clean_tokenized,tweet_clean_nostopwords,tweet_ready
10, Competition is always close till BJP begin its carpate bombing Blitzkrieg NaMo Amit Shah Yogi With Ram Mandir issue settled China confrontation advantage is with BJP Lalu in jail is huge disadvantage for RJD and kids are not big vote catcher Lets see what happen,1295067398899286016,2020-08-16 18:38:23,Twitter for Android,0,0,0.3333333333333333,0.10000000000000002,Positive, Competition is always close till BJP begin its carpate bombing Blitzkrieg NaMo Amit Shah Yogi With Ram Mandir issue settled China confrontation advantage is with BJP Lalu in jail is huge disadvantage for RJD and kids are not big vote catcher Lets see what happen,"['', 'competition', 'is', 'always', 'close', 'till', 'bjp', 'begin', 'its', 'carpate', 'bombing', 'blitzkrieg', 'namo', 'amit', 'shah', 'yogi', 'with', 'ram', 'mandir', 'issue', 'settled', 'china', 'confrontation', 'advantage', 'is', 'with', 'bjp', 'lalu', 'in', 'jail', 'is', 'huge', 'disadvantage', 'for', 'rjd', 'and', 'kids', 'are', 'not', 'big', 'vote', 'catcher', 'lets', 'see', 'what', 'happen']","['', 'competition', 'always', 'close', 'till', 'bjp', 'begin', 'carpate', 'bombing', 'blitzkrieg', 'namo', 'amit', 'shah', 'yogi', 'ram', 'mandir', 'issue', 'settled', 'china', 'confrontation', 'advantage', 'bjp', 'lalu', 'jail', 'huge', 'disadvantage', 'rjd', 'kids', 'big', 'vote', 'catcher', 'lets', 'see', 'happen']",competition always close till bjp begin carpate bombing blitzkrieg namo amit shah yogi ram mandir issue settled china confrontation advantage bjp lalu jail huge disadvantage rjd kids big vote catcher lets see happen
11,"AskTrueIndology
Can explain why Goswami Tulsidas c – not mention anything regarding destruction of Ram Janambhomi mandir by Babur  February  –  December  in any verses out of  verses of Ramcharitmanas",1295067196364750848,2020-08-16 18:37:35,Twitter Web App,0,0,0.0,0.0,Neutral,"AskTrueIndology
Can explain why Goswami Tulsidas c – not mention anything regarding destruction of Ram Janambhomi mandir by Babur  February  –  December  in any verses out of  verses of Ramcharitmanas","['asktrueindology', 'can', 'explain', 'why', 'goswami', 'tulsidas', 'c', 'not', 'mention', 'anything', 'regarding', 'destruction', 'of', 'ram', 'janambhomi', 'mandir', 'by', 'babur', 'february', 'december', 'in', 'any', 'verses', 'out', 'of', 'verses', 'of', 'ramcharitmanas']","['asktrueindology', 'explain', 'goswami', 'tulsidas', 'c', 'mention', 'anything', 'regarding', 'destruction', 'ram', 'janambhomi', 'mandir', 'babur', 'february', 'december', 'verses', 'verses', 'ramcharitmanas']",asktrueindology explain goswami tulsidas c mention anything regarding destruction ram janambhomi mandir babur february december verses verses ramcharitmanas
12, Advani ji lived long enough to see Ram Mandir,1295067015560990720,2020-08-16 18:36:52,Twitter for Android,0,0,0.45,-0.025,Negative, Advani ji lived long enough to see Ram Mandir,"['', 'advani', 'ji', 'lived', 'long', 'enough', 'to', 'see', 'ram', 'mandir']","['', 'advani', 'ji', 'lived', 'long', 'enough', 'see', 'ram', 'mandir']",advani ji lived long enough see ram mandir
13, Sir it’s been  days and you still haven’t tweeted about the Bangalore Riots which was done by the people you love  Is this your leadership where you keep quiet on one religions misdeeds and you question the Ram  Mandir Puja ceremony  It’s a shame you call yourself secular,1295066264969207809,2020-08-16 18:33:53,Twitter for iPhone,0,0,0.4666666666666667,0.25,Positive, Sir it’s been  days and you still haven’t tweeted about the Bangalore Riots which was done by the people you love  Is this your leadership where you keep quiet on one religions misdeeds and you question the Ram  Mandir Puja ceremony  It’s a shame you call yourself secular,"['', 'sir', 'it', 's', 'been', 'days', 'and', 'you', 'still', 'haven', 't', 'tweeted', 'about', 'the', 'bangalore', 'riots', 'which', 'was', 'done', 'by', 'the', 'people', 'you', 'love', 'is', 'this', 'your', 'leadership', 'where', 'you', 'keep', 'quiet', 'on', 'one', 'religions', 'misdeeds', 'and', 'you', 'question', 'the', 'ram', 'mandir', 'puja', 'ceremony', 'it', 's', 'a', 'shame', 'you', 'call', 'yourself', 'secular']","['', 'sir', 'days', 'still', 'tweeted', 'bangalore', 'riots', 'done', 'people', 'love', 'leadership', 'keep', 'quiet', 'one', 'religions', 'misdeeds', 'question', 'ram', 'mandir', 'puja', 'ceremony', 'shame', 'call', 'secular']",sir days still tweeted bangalore riots done people love leadership keep quiet one religions misdeeds question ram mandir puja ceremony shame call secular
14," Evrythin is true may b

But congress has never done roads on border

Congress nevr done good for Hindus

Congress is for only Muslims n BJP for evryone

Due to BJP Ram Mandir issue solved

Invoked article 

Still yet to come

Tell ur congmen to support Hindus to get votes",1295065471067201536,2020-08-16 18:30:44,Twitter for Android,0,0,0.65625,0.23124999999999996,Positive," Evrythin is true may b

But congress has never done roads on border

Congress nevr done good for Hindus

Congress is for only Muslims n BJP for evryone

Due to BJP Ram Mandir issue solved

Invoked article 

Still yet to come

Tell ur congmen to support Hindus to get votes","['', 'evrythin', 'is', 'true', 'may', 'b', 'but', 'congress', 'has', 'never', 'done', 'roads', 'on', 'border', 'congress', 'nevr', 'done', 'good', 'for', 'hindus', 'congress', 'is', 'for', 'only', 'muslims', 'n', 'bjp', 'for', 'evryone', 'due', 'to', 'bjp', 'ram', 'mandir', 'issue', 'solved', 'invoked', 'article', 'still', 'yet', 'to', 'come', 'tell', 'ur', 'congmen', 'to', 'support', 'hindus', 'to', 'get', 'votes']","['', 'evrythin', 'true', 'may', 'b', 'congress', 'never', 'done', 'roads', 'border', 'congress', 'nevr', 'done', 'good', 'hindus', 'congress', 'muslims', 'n', 'bjp', 'evryone', 'due', 'bjp', 'ram', 'mandir', 'issue', 'solved', 'invoked', 'article', 'still', 'yet', 'come', 'tell', 'ur', 'congmen', 'support', 'hindus', 'get', 'votes']",evrythin true may b congress never done roads border congress nevr done good hindus congress muslims n bjp evryone due bjp ram mandir issue solved invoked article still yet come tell ur congmen support hindus get votes
15,"People before Modi Govt said tht Hindu is been betrayed amp Ram Mandir will never being build but we got justice

Similarly with Article CAATriple talaq etc

Similarly we have faith in  amp  that justice will be served

Save this Tweet

RepublicForSushant coQTsweuDI",1295064328270274560,2020-08-16 18:26:11,Twitter for iPhone,13,7,0.4,0.0,Neutral,"People before Modi Govt said tht Hindu is been betrayed amp Ram Mandir will never being build but we got justice

Similarly with Article CAATriple talaq etc

Similarly we have faith in  amp  that justice will be served

Save this Tweet

RepublicForSushant coQTsweuDI","['people', 'before', 'modi', 'govt', 'said', 'tht', 'hindu', 'is', 'been', 'betrayed', 'amp', 'ram', 'mandir', 'will', 'never', 'being', 'build', 'but', 'we', 'got', 'justice', 'similarly', 'with', 'article', 'caatriple', 'talaq', 'etc', 'similarly', 'we', 'have', 'faith', 'in', 'amp', 'that', 'justice', 'will', 'be', 'served', 'save', 'this', 'tweet', 'republicforsushant', 'coqtsweudi']","['people', 'modi', 'govt', 'said', 'tht', 'hindu', 'betrayed', 'amp', 'ram', 'mandir', 'never', 'build', 'got', 'justice', 'similarly', 'article', 'caatriple', 'talaq', 'etc', 'similarly', 'faith', 'amp', 'justice', 'served', 'save', 'tweet', 'republicforsushant', 'coqtsweudi']",people modi govt said tht hindu betrayed amp ram mandir never build got justice similarly article caatriple talaq etc similarly faith amp justice served save tweet republicforsushant coqtsweudi
16, I love Dhoni  hes really a legend  hes selfless and you just a selfish cricketer who is not ready to loose any  endorsement let it be on any cost If m wrong prove it say loud that you are also happy with reconstruction of Ram Mandir in Ayodhya,1295063040124043264,2020-08-16 18:21:04,Twitter for Android,1,0,0.6586538461538461,0.05288461538461538,Positive, I love Dhoni  hes really a legend  hes selfless and you just a selfish cricketer who is not ready to loose any  endorsement let it be on any cost If m wrong prove it say loud that you are also happy with reconstruction of Ram Mandir in Ayodhya,"['', 'i', 'love', 'dhoni', 'hes', 'really', 'a', 'legend', 'hes', 'selfless', 'and', 'you', 'just', 'a', 'selfish', 'cricketer', 'who', 'is', 'not', 'ready', 'to', 'loose', 'any', 'endorsement', 'let', 'it', 'be', 'on', 'any', 'cost', 'if', 'm', 'wrong', 'prove', 'it', 'say', 'loud', 'that', 'you', 'are', 'also', 'happy', 'with', 'reconstruction', 'of', 'ram', 'mandir', 'in', 'ayodhya']","['', 'love', 'dhoni', 'hes', 'really', 'legend', 'hes', 'selfless', 'selfish', 'cricketer', 'ready', 'loose', 'endorsement', 'let', 'cost', 'wrong', 'prove', 'say', 'loud', 'also', 'happy', 'reconstruction', 'ram', 'mandir', 'ayodhya']",love dhoni hes really legend hes selfless selfish cricketer ready loose endorsement let cost wrong prove say loud also happy reconstruction ram mandir ayodhya
17, By Building Ram Mandir🚩🚩🚩,1295062537478844418,2020-08-16 18:19:04,Twitter Web App,107,10,0.0,0.0,Neutral, By Building Ram Mandir🚩🚩🚩,"['', 'by', 'building', 'ram', 'mandir', '']","['', 'building', 'ram', 'mandir', '']",building ram mandir
18, Advani is a man whose dream of ram mandir came true that must be something very surreal for kamra someone who is struggling to meet the minimum numbers of audience count in his show He cant relate to a man whose goals were achieved,1295062237208391680,2020-08-16 18:17:53,Twitter for Android,0,0,0.825,0.3375,Positive, Advani is a man whose dream of ram mandir came true that must be something very surreal for kamra someone who is struggling to meet the minimum numbers of audience count in his show He cant relate to a man whose goals were achieved,"['', 'advani', 'is', 'a', 'man', 'whose', 'dream', 'of', 'ram', 'mandir', 'came', 'true', 'that', 'must', 'be', 'something', 'very', 'surreal', 'for', 'kamra', 'someone', 'who', 'is', 'struggling', 'to', 'meet', 'the', 'minimum', 'numbers', 'of', 'audience', 'count', 'in', 'his', 'show', 'he', 'cant', 'relate', 'to', 'a', 'man', 'whose', 'goals', 'were', 'achieved']","['', 'advani', 'man', 'whose', 'dream', 'ram', 'mandir', 'came', 'true', 'must', 'something', 'surreal', 'kamra', 'someone', 'struggling', 'meet', 'minimum', 'numbers', 'audience', 'count', 'show', 'cant', 'relate', 'man', 'whose', 'goals', 'achieved']",advani man whose dream ram mandir came true must something surreal kamra someone struggling meet minimum numbers audience count show cant relate man whose goals achieved
19, Please Guys Trust Mota bhai and ModijiIts just bcoz of them  is abrogated and Ram Mandir is done and Triple Talaq done And Hinduism is more stronger now mat bhulo I am from Gujarat I know what is He and Mota bhai is,1295061820068130816,2020-08-16 18:16:13,Twitter for Android,0,0,0.5,0.5,Positive, Please Guys Trust Mota bhai and ModijiIts just bcoz of them  is abrogated and Ram Mandir is done and Triple Talaq done And Hinduism is more stronger now mat bhulo I am from Gujarat I know what is He and Mota bhai is,"['', 'please', 'guys', 'trust', 'mota', 'bhai', 'and', 'modijiits', 'just', 'bcoz', 'of', 'them', 'is', 'abrogated', 'and', 'ram', 'mandir', 'is', 'done', 'and', 'triple', 'talaq', 'done', 'and', 'hinduism', 'is', 'more', 'stronger', 'now', 'mat', 'bhulo', 'i', 'am', 'from', 'gujarat', 'i', 'know', 'what', 'is', 'he', 'and', 'mota', 'bhai', 'is']","['', 'please', 'guys', 'trust', 'mota', 'bhai', 'modijiits', 'bcoz', 'abrogated', 'ram', 'mandir', 'done', 'triple', 'talaq', 'done', 'hinduism', 'stronger', 'mat', 'bhulo', 'gujarat', 'know', 'mota', 'bhai']",please guys trust mota bhai modijiits bcoz abrogated ram mandir done triple talaq done hinduism stronger mat bhulo gujarat know mota bhai
20, It was her fate that she was born in UP during the end of era of Mayawati started growing up during Akhilesh Yadav amp entered into her teenage during extreme SUSHASAN when Ram Mandir is going to be build amp little Sitas will be molested one after another,1295061348200529920,2020-08-16 18:14:21,Twitter for Android,0,0,0.5,-0.10416666666666667,Negative, It was her fate that she was born in UP during the end of era of Mayawati started growing up during Akhilesh Yadav amp entered into her teenage during extreme SUSHASAN when Ram Mandir is going to be build amp little Sitas will be molested one after another,"['', 'it', 'was', 'her', 'fate', 'that', 'she', 'was', 'born', 'in', 'up', 'during', 'the', 'end', 'of', 'era', 'of', 'mayawati', 'started', 'growing', 'up', 'during', 'akhilesh', 'yadav', 'amp', 'entered', 'into', 'her', 'teenage', 'during', 'extreme', 'sushasan', 'when', 'ram', 'mandir', 'is', 'going', 'to', 'be', 'build', 'amp', 'little', 'sitas', 'will', 'be', 'molested', 'one', 'after', 'another']","['', 'fate', 'born', 'end', 'era', 'mayawati', 'started', 'growing', 'akhilesh', 'yadav', 'amp', 'entered', 'teenage', 'extreme', 'sushasan', 'ram', 'mandir', 'going', 'build', 'amp', 'little', 'sitas', 'molested', 'one', 'another']",fate born end era mayawati started growing akhilesh yadav amp entered teenage extreme sushasan ram mandir going build amp little sitas molested one another
21,"MovieMango First  years  purely economy centred policies

Current  years  correcting past mistakes  Ram mandir NEP etc

Next  years  pure Hindutva",1295061268034801669,2020-08-16 18:14:02,Twitter for Android,17,1,0.33055555555555555,0.07142857142857144,Positive,"MovieMango First  years  purely economy centred policies

Current  years  correcting past mistakes  Ram mandir NEP etc

Next  years  pure Hindutva","['moviemango', 'first', 'years', 'purely', 'economy', 'centred', 'policies', 'current', 'years', 'correcting', 'past', 'mistakes', 'ram', 'mandir', 'nep', 'etc', 'next', 'years', 'pure', 'hindutva']","['moviemango', 'first', 'years', 'purely', 'economy', 'centred', 'policies', 'current', 'years', 'correcting', 'past', 'mistakes', 'ram', 'mandir', 'nep', 'etc', 'next', 'years', 'pure', 'hindutva']",moviemango first years purely economy centred policies current years correcting past mistakes ram mandir nep etc next years pure hindutva
22,"CAA
Rera Act
Ram Mandir 
 Cr Homes
 Cr Toilets
Stable Govt
 Removal
Triple Talaq 
Low Inflation
Terrorism Drop
 new AIIMS
 new Airports
LGBTQ Act
 lakh Km Roads
Motor Vehicles Act
Weaponry for forces
New Education Policy
 New IITs IIMs IITs
Reduced Corporate tax",1295060961183903746,2020-08-16 18:12:48,Twitter Web App,0,0,0.353030303030303,0.0909090909090909,Positive,"CAA
Rera Act
Ram Mandir 
 Cr Homes
 Cr Toilets
Stable Govt
 Removal
Triple Talaq 
Low Inflation
Terrorism Drop
 new AIIMS
 new Airports
LGBTQ Act
 lakh Km Roads
Motor Vehicles Act
Weaponry for forces
New Education Policy
 New IITs IIMs IITs
Reduced Corporate tax","['caa', 'rera', 'act', 'ram', 'mandir', 'cr', 'homes', 'cr', 'toilets', 'stable', 'govt', 'removal', 'triple', 'talaq', 'low', 'inflation', 'terrorism', 'drop', 'new', 'aiims', 'new', 'airports', 'lgbtq', 'act', 'lakh', 'km', 'roads', 'motor', 'vehicles', 'act', 'weaponry', 'for', 'forces', 'new', 'education', 'policy', 'new', 'iits', 'iims', 'iits', 'reduced', 'corporate', 'tax']","['caa', 'rera', 'act', 'ram', 'mandir', 'cr', 'homes', 'cr', 'toilets', 'stable', 'govt', 'removal', 'triple', 'talaq', 'low', 'inflation', 'terrorism', 'drop', 'new', 'aiims', 'new', 'airports', 'lgbtq', 'act', 'lakh', 'km', 'roads', 'motor', 'vehicles', 'act', 'weaponry', 'forces', 'new', 'education', 'policy', 'new', 'iits', 'iims', 'iits', 'reduced', 'corporate', 'tax']",caa rera act ram mandir cr homes cr toilets stable govt removal triple talaq low inflation terrorism drop new aiims new airports lgbtq act lakh km roads motor vehicles act weaponry forces new education policy new iits iims iits reduced corporate tax
23,Dhoni gave us world cup LK advani gave us Ram Mandir And you You gave us hope Tera ghar chal raha hai to hamara to kuch na kuch jarur hoga coNOzWvvrbQB,1295060176240689152,2020-08-16 18:09:41,Twitter for Android,0,0,0.0,0.0,Neutral,Dhoni gave us world cup LK advani gave us Ram Mandir And you You gave us hope Tera ghar chal raha hai to hamara to kuch na kuch jarur hoga coNOzWvvrbQB,"['dhoni', 'gave', 'us', 'world', 'cup', 'lk', 'advani', 'gave', 'us', 'ram', 'mandir', 'and', 'you', 'you', 'gave', 'us', 'hope', 'tera', 'ghar', 'chal', 'raha', 'hai', 'to', 'hamara', 'to', 'kuch', 'na', 'kuch', 'jarur', 'hoga', 'conozwvvrbqb']","['dhoni', 'gave', 'us', 'world', 'cup', 'lk', 'advani', 'gave', 'us', 'ram', 'mandir', 'gave', 'us', 'hope', 'tera', 'ghar', 'chal', 'raha', 'hai', 'hamara', 'kuch', 'na', 'kuch', 'jarur', 'hoga', 'conozwvvrbqb']",dhoni gave us world cup lk advani gave us ram mandir gave us hope tera ghar chal raha hai hamara kuch na kuch jarur hoga conozwvvrbqb
